timestamp_sec,motor_position_rad,motor_speed_rad_s,motor_shaft_speed_rad_s,motor_current_a,motor_torque_nm,pendulum_position_rad,input_voltage
0.0,0.0,0.0,0.0,2.4,2.6208,3.141592653589793,12.0
0.001,0.000283719458404087,0.283719458404087,22.13011775551879,2.3380356702845475,2.5531349519507263,3.1415158870705175,12.0
0.002,0.0008510942555248319,0.5673747971207449,44.2552341754181,2.2760853443088296,2.485485195985242,3.1413623870470584,12.0
0.003,0.0016959219896374514,0.8448277341126195,65.89656326078432,2.215489622869804,2.419314668173826,3.141133850328557,12.0
0.004,0.002810689426953831,1.1147674373163796,86.95186011067761,2.1565347916901025,2.354935992525592,3.140832330883617,12.0
0.005,0.004188086580171692,1.3773971532178602,107.4369779509931,2.0991764617372195,2.292300696217044,3.1404598298582176,12.0
0.006,0.005821001189990225,1.632914609818533,127.36733956584557,2.0433714492156323,2.2313616225434707,3.140018296779944,12.0
0.007,0.007702513353260913,1.8815121632706882,146.75794873511367,1.9890777435416815,2.1720728959475166,3.1395096306903523,12.0
0.008,0.009825890294590458,2.1233769413295454,165.62340142370454,1.9362544760136273,2.114389887806881,3.1389356812146434,12.0
0.009000000000000001,0.012184581278188689,2.358690983598231,183.97789672066202,1.8848618891821463,2.058269182986904,3.1382982495767493,12.0
0.010000000000000002,0.014772212656742587,2.587631378553898,201.83524752720405,1.8348613069238286,2.003668547160821,3.137599089566975,12.0
0.011000000000000003,0.01758258305409676,2.810370397354173,219.2088909936255,1.7862151052178485,1.9505468948978908,3.1368399084684624,12.0
0.012000000000000004,0.02060965867852949,3.0270756244327295,236.1118987057529,1.7388866836238919,1.8988642585172901,3.1360223679479793,12.0
0.013000000000000005,0.02384756876343074,3.23791008490125,252.5569866222975,1.692840437457567,1.8485817577036632,3.1351480849158304,12.0
0.014000000000000005,0.027290601132213183,3.4430323687824442,268.55652476503064,1.6480417306579143,1.7996615698784426,3.134218632359069,12.0
0.015000000000000006,0.030933197884318468,3.6425967521052858,284.1225466642123,1.6044568693402055,1.7520669013195045,3.133235540151635,12.0
0.016000000000000007,0.0347699511992177,3.8367533148992305,299.26675856213996,1.5620530760260078,1.7057619590204007,3.132200295844549,12.0
0.017000000000000008,0.038795599255346765,4.025648056129066,314.00054837806715,1.5207984645414119,1.6607119232792218,3.131114345438844,12.0
0.01800000000000001,0.043005022260962956,4.209423005616191,328.3349944380629,1.4806620155734238,1.6168829210061788,3.129979094143539,12.0
0.01900000000000001,0.047393238593958636,4.388216332995679,342.28087397366295,1.4416135528737437,1.5742419997381283,3.128795907120599,12.0
0.02000000000000001,0.0519554010477201,4.56216245376146,355.8486713933939,1.4036237200984971,1.532757102347559,3.1275661102185257,12.0
0.02100000000000001,0.05668679318017451,4.731392132454417,369.04858633144454,1.3666639582719553,1.4923970424329753,3.12629099069595,12.0
0.022000000000000013,0.061582825763224734,4.896032583050218,381.890541477917,1.3307064838618323,1.453131480377121,3.12497179793636,12.0
0.023000000000000013,0.06663903332983004,5.056207566605304,394.3841901952137,1.2957242674534015,1.4149309000591146,3.1236097441548862,12.0
0.024000000000000014,0.0718510708160507,5.21203748622067,406.5389239252123,1.2616910130094054,1.377766586206271,3.1222060050978913,12.0
0.025000000000000015,0.0772147102954347,5.363639479383996,418.3638793919517,1.2285811377025353,1.3416106023711687,3.1207617207359375,12.0
0.026000000000000016,0.08272583780318594,5.5111275077512465,429.86794560459725,1.1963697523071277,1.3064357695193836,3.1192779959505854,12.0
0.027000000000000017,0.08838045024761519,5.654612444429244,441.05977066548104,1.165032642136653,1.2722156452132252,3.117755901215339,12.0
0.028000000000000018,0.09417465240643594,5.794202158820752,451.9477683880187,1.1345462485135476,1.238924503376794,3.1161964732709673,12.0
0.02900000000000002,0.1001046540055295,5.930001599093551,462.54012472929696,1.1048876507579686,1.2065373146277019,3.1146007157953326,12.0
0.03000000000000002,0.10616676687786412,6.062112872334628,472.844804042101,1.0760345486821172,1.175029727160872,3.112969600067788,12.0
0.03100000000000002,0.11235740220031433,6.190635322450204,482.8695551511159,1.0479652455768753,1.144378048169948,3.111304065628144,12.0
0.03200000000000002,0.11867306780618597,6.315665605871645,492.62191725798834,1.0206586316776325,1.1145592257919748,3.1096050209301502,12.0
0.03300000000000002,0.1251103655713126,6.4372977651266305,502.10922567987717,0.9940941680963438,1.0855508315612075,3.1078733439894,12.0
0.03400000000000002,0.13166598887164668,6.555623300334064,511.338617426057,0.9682518712070403,1.057331043358088,3.1061098830255305,12.0
0.035000000000000024,0.138336720110327,6.670731238680322,520.3170366170651,0.9431122974722177,1.0298786288396617,3.104315457098559,12.0
0.036000000000000025,0.14511942831226038,6.782708201933393,529.0512397508047,0.9186565286977469,1.0031729293379397,3.1024908567391907,12.0
0.037000000000000026,0.15201106678431078,6.891638472050401,537.5478008199312,0.8948661577041923,0.9771938442129781,3.1006368445728976,12.0
0.03800000000000003,0.15900867083924367,6.997604054932869,545.8131162847637,0.8717232744026614,0.9519218156477063,3.0987541559375806,12.0
0.03900000000000003,0.1661093555816266,7.100684742382917,553.8534099058676,0.8492104522635708,0.9273378138718195,3.096843499494604,12.0
0.04000000000000003,0.17331031375393896,7.200958172312372,561.674737440365,0.8273107351669777,0.9034233228023397,3.0949055578329996,12.0
0.04100000000000003,0.1806088136411945,7.298499887255535,569.2829912059318,0.806007624623391,0.8801603260887431,3.0929409880666356,12.0
0.04200000000000003,0.1880021970324296,7.393383391235107,576.6839045163383,0.7852850673542526,0.8575312935508439,3.0909504224241524,12.0
